,0,1,2,3,4,5,6
IMMNOV.ST,-0.16871762,-0.007392071,-0.01891318,0.03476858,0.08631829,0.0299139,-0.04086435
INDU-A.ST,-2.082552,-1.8484536,-1.8759302,-1.8857276,-1.8481526,-1.9770448,-2.08782
IVACC.ST,-7.121939,-7.0022106,-6.9731975,-7.025885,-6.9328213,-7.0816355,-7.183816
JM.ST,-0.7278181,-0.50397635,-0.5288799,-0.5283511,-0.48777112,-0.6060631,-0.71136713
KAPIAB.ST,-1.637825,-1.3616687,-1.411705,-1.4052356,-1.390351,-1.5107167,-1.6240598
KINV-B.ST,0.20631395,0.4744528,0.40249106,0.510236,0.49940315,0.47829276,0.40717807
LIFCO-B.ST,-0.84392107,-0.5802643,-0.6289286,-0.6023423,-0.58707446,-0.6858152,-0.7882847
LIME.ST,-8.166537,-7.9408956,-7.9649467,-7.9874644,-7.9504294,-8.084778,-8.194811
LUND-B.ST,-3.3367302,-3.0433624,-3.10566,-3.0804787,-3.0808291,-3.1831896,-3.2904174
MINEST.ST,0.8001878,0.81513083,0.8942613,0.83794165,0.9875721,0.8441637,0.75613165
MIPS.ST,-5.3607903,-5.220037,-5.193961,-5.2630024,-5.171267,-5.3406196,-5.4545455
